Data,Position,Conference,Conference Type,Receiving Team,Player,From School,Departing Conference
DB Kanion Williams (from Oklahoma State),DB,American Athletic Conference,Non Power 5,Tulsa,Kanion Williams,Oklahoma State,Big 12
DB Keuan Parker (from Arkansas),DB,American Athletic Conference,Non Power 5,Tulsa,Keuan Parker,Arkansas,SEC
DB Adrian Huey (from Kentucky),DB,American Athletic Conference,Non Power 5,Tulsa,Adrian Huey,Kentucky,SEC
DB Demarco Jones (from Ohio State),DB,American Athletic Conference,Non Power 5,Tulsa,Demarco Jones,Ohio State,Big Ten
LB Austin Ortega (from Nevada),LB,American Athletic Conference,Non Power 5,Tulsa,Austin Ortega,Nevada,Mountain West
QB Timmy McClain (from USF),QB,American Athletic Conference,Non Power 5,UCF,Timmy McClain,USF,American Athletic Conference
QB Xavier Williams (from Charlotte),QB,American Athletic Conference,Non Power 5,UCF,Xavier Williams,Charlotte,Conference USA
QB Gunnar Smith (from USF),QB,American Athletic Conference,Non Power 5,UCF,Gunnar Smith,USF,American Athletic Conference
RB Demarkcus Bowman (from Florida),RB,American Athletic Conference,Non Power 5,UCF,Demarkcus Bowman,Florida,SEC
WR Chauncey Magwood (from Kentucky),WR,American Athletic Conference,Non Power 5,UCF,Chauncey Magwood,Kentucky,SEC
WR Trent Whittemore (from Florida),WR,American Athletic Conference,Non Power 5,UCF,Trent Whittemore,Florida,SEC
WR Corey Gammage (from Marshall),WR,American Athletic Conference,Non Power 5,UCF,Corey Gammage,Marshall,Sun Belt
OL Marcellus Marshall (from Kent State),OL,American Athletic Conference,Non Power 5,UCF,Marcellus Marshall,Kent State,MAC
OL Amari Kight (from Alabama),OL,American Athletic Conference,Non Power 5,UCF,Amari Kight,Alabama,SEC
OL Drake Metcalf (from Stanford),OL,American Athletic Conference,Non Power 5,UCF,Drake Metcalf,Stanford,Pac-12
OL Bula Schmidt (from Fresno State),OL,American Athletic Conference,Non Power 5,UCF,Bula Schmidt,Fresno State,Mountain West
DL Derrick LeBlanc (from Oklahoma),DL,American Athletic Conference,Non Power 5,UCF,Derrick LeBlanc,Oklahoma,Big 12
LB Shaun Peterson (from FIU),LB,American Athletic Conference,Non Power 5,UCF,Shaun Peterson,FIU,Conference USA
LB Rian Davis (from Georgia),LB,American Athletic Conference,Non Power 5,UCF,Rian Davis,Georgia,SEC
LB Isaiah Paul (from UIW/Washington State),LB,American Athletic Conference,Non Power 5,UCF,Isaiah Paul,UIW/Washington State,#N/A
CB Fred Davis (from Clemson),CB,American Athletic Conference,Non Power 5,UCF,Fred Davis,Clemson,ACC
DB Decorian Patterson (from Middle Tennessee),DB,American Athletic Conference,Non Power 5,UCF,Decorian Patterson,Middle Tennessee,Conference USA
S DeJordan Mask (from Texas State),S ,American Athletic Conference,Non Power 5,UCF,eJordan Mask,Texas State,Sun Belt
S Jireh Wilson (from East Carolina),S ,American Athletic Conference,Non Power 5,UCF,ireh Wilson,East Carolina,American Athletic Conference
K Kriston Esnard (from Tulane),K ,American Athletic Conference,Non Power 5,UCF,Kriston Esnard,Tulane,American Athletic Conference
LS Gage King (from Arizona State),LS,American Athletic Conference,Non Power 5,UCF,Gage King,Arizona State,Pac-12
QB Bryce Archie (from Coastal Carolina),QB,American Athletic Conference,Non Power 5,USF,Bryce Archie,Coastal Carolina,Sun Belt
RB Dominic Gonnella (from North Dakota State),RB,American Athletic Conference,Non Power 5,USF,Dominic Gonnella,North Dakota State,Missouri Valley
RB Nay'Quan Wright (from Florida),RB,American Athletic Conference,Non Power 5,USF,Nay'Quan Wright,Florida,SEC
WR Naiem Simmons (from Wagner),WR,American Athletic Conference,Non Power 5,USF,Naiem Simmons,Wagner,Northeast
WR Jaden Alexis (from Texas),WR,American Athletic Conference,Non Power 5,USF,Jaden Alexis,Texas,Big 12
WR Seth Jones (from Baylor),WR,American Athletic Conference,Non Power 5,USF,Seth Jones,Baylor,Big 12
WR Michael Brown-Stephens (from Minnesota),WR,American Athletic Conference,Non Power 5,USF,Michael Brown-Stephens,Minnesota,Big Ten
TE Weston Wolff (from Maryland),TE,American Athletic Conference,Non Power 5,USF,Weston Wolff,Maryland,Big Ten
TE Teigan Martin (from Liberty),TE,American Athletic Conference,Non Power 5,USF,Teigan Martin,Liberty,Independents
OL RJ Perry (from Tennessee),OL,American Athletic Conference,Non Power 5,USF,RJ Perry,Tennessee,SEC
OL Zane Herring (from Florida State),OL,American Athletic Conference,Non Power 5,USF,Zane Herring,Florida State,ACC
OL Derek Bowman (from Houston),OL,American Athletic Conference,Non Power 5,USF,Derek Bowman,Houston,American Athletic Conference
DL Immanuel Hickman (from East Carolina),DL,American Athletic Conference,Non Power 5,USF,Immanuel Hickman,East Carolina,American Athletic Conference
DL Doug Blue-Eli (from TCU),DL,American Athletic Conference,Non Power 5,USF,Doug Blue-Eli,TCU,Big 12
DL Bernard Gooden (from Wake Forest),DL,American Athletic Conference,Non Power 5,USF,Bernard Gooden,Wake Forest,ACC
DL Lloyd Summerall III (from Florida),DL,American Athletic Conference,Non Power 5,USF,Lloyd Summerall III,Florida,SEC
LB D.J. Harris (from Texas),LB,American Athletic Conference,Non Power 5,USF,D.J. Harris,Texas,Big 12
LB Jamie Pettway (from FAU),LB,American Athletic Conference,Non Power 5,USF,Jamie Pettway,FAU,Conference USA
LB Andrew Mata'afa (from Utah),LB,American Athletic Conference,Non Power 5,USF,Andrew Mata'afa,Utah,Pac-12
DB Kendall Dennis (from Oklahoma),DB,American Athletic Conference,Non Power 5,USF,Kendall Dennis,Oklahoma,Big 12
K Brendan Farrell (from Virginia),K ,American Athletic Conference,Non Power 5,USF,Brendan Farrell,Virginia,ACC
QB Jalon Jones (from Bethune-Cookman),QB,Conference USA,Non Power 5,Charlotte,Jalon Jones,Bethune-Cookman,#N/A
QB Micah Bowens (from Oklahoma),QB,Conference USA,Non Power 5,Charlotte,Micah Bowens,Oklahoma,Big 12
QB Dom Shoffner (from Eastern Illinois),QB,Conference USA,Non Power 5,Charlotte,Dom Shoffner,Eastern Illinois,Big South-OVC
RB Terron Kellman (from Northern Illinois),RB,Conference USA,Non Power 5,Charlotte,Terron Kellman,Northern Illinois,MAC
RB Challen Faamatau (from Maryland),RB,Conference USA,Non Power 5,Charlotte,Challen Faamatau,Maryland,Big Ten
FB Joseph Bearns (from Maryland),FB,Conference USA,Non Power 5,Charlotte,Joseph Bearns,Maryland,Big Ten
WR Andrew Jacobs (from South Dakota),WR,Conference USA,Non Power 5,Charlotte,Andrew Jacobs,South Dakota,Missouri Valley
WR Jaden Bradley (from Pitt),WR,Conference USA,Non Power 5,Charlotte,Jaden Bradley,Pitt,ACC
WR Ike White (from Minnesota),WR,Conference USA,Non Power 5,Charlotte,Ike White,Minnesota,Big Ten
WR Jack Hestera (from Colorado),WR,Conference USA,Non Power 5,Charlotte,Jack Hestera,Colorado,Pac-12
WR Randy Fields (from UT Martin),WR,Conference USA,Non Power 5,Charlotte,Randy Fields,UT Martin,Big South-OVC
TE Gus McGee (from San Diego State),TE,Conference USA,Non Power 5,Charlotte,Gus McGee,San Diego State,Mountain West
OL Johnathan Bass (from Georgia State),OL,Conference USA,Non Power 5,Charlotte,Johnathan Bass,Georgia State,Sun Belt
OL Kevin Williams (from Nebraska),OL,Conference USA,Non Power 5,Charlotte,Kevin Williams,Nebraska,Big Ten
OL Andrew Adair (from James Madison),OL,Conference USA,Non Power 5,Charlotte,Andrew Adair,James Madison,Sun Belt
OL Tyler Thomas (from Grambling),OL,Conference USA,Non Power 5,Charlotte,Tyler Thomas,Grambling,#N/A
OL Chris Morris (from Memphis),OL,Conference USA,Non Power 5,Charlotte,Chris Morris,Memphis,American Athletic Conference
OL Jordan Daniels (from Akron),OL,Conference USA,Non Power 5,Charlotte,Jordan Daniels,Akron,MAC
OL Jasper Parks (from Sioux Falls),OL,Conference USA,Non Power 5,Charlotte,Jasper Parks,Sioux Falls,#N/A
OL Ja'Khi Green (from Maryland),OL,Conference USA,Non Power 5,Charlotte,Ja'Khi Green,Maryland,Big Ten
DL Demon Clowney (from Ole Miss),DL,Conference USA,Non Power 5,Charlotte,Demon Clowney,Ole Miss,SEC
DL Greg Hudgins III (from Purdue),DL,Conference USA,Non Power 5,Charlotte,Greg Hudgins III,Purdue,Big Ten
DL Emmanuel Balogun (from Marshall),DL,Conference USA,Non Power 5,Charlotte,Emmanuel Balogun,Marshall,Sun Belt
DL Zion Shockley (from Maryland),DL,Conference USA,Non Power 5,Charlotte,Zion Shockley,Maryland,Big Ten
DL Julius Welschof (from Michigan),DL,Conference USA,Non Power 5,Charlotte,Julius Welschof,Michigan,Big Ten
DL KaTron Evans (from Jackson State),DL,Conference USA,Non Power 5,Charlotte,KaTron Evans,Jackson State,SWAC
DL Osita Ekwonu (from Notre Dame),DL,Conference USA,Non Power 5,Charlotte,Osita Ekwonu,Notre Dame,Independents
DL Austin Fontaine (from Maryland),DL,Conference USA,Non Power 5,Charlotte,Austin Fontaine,Maryland,Big Ten
Edge Eyabi Okie (from Michigan),DE,Conference USA,Non Power 5,Charlotte,Eyabi Okie,Michigan,Big Ten
Edge Terrance Butler (from Maryland),DE,Conference USA,Non Power 5,Charlotte,Terrance Butler,Maryland,Big Ten
LB Nikhai Hill-Green (from Michigan),LB,Conference USA,Non Power 5,Charlotte,Nikhai Hill-Green,Michigan,Big Ten
LB T.J. Butler (from Maryland),LB,Conference USA,Non Power 5,Charlotte,T.J. Butler,Maryland,Big Ten
LB Demetrius Knight (from Georgia Tech),LB,Conference USA,Non Power 5,Charlotte,Demetrius Knight,Georgia Tech,ACC
DB C.J. Burton (from Boston College),DB,Conference USA,Non Power 5,Charlotte,C.J. Burton,Boston College,ACC
DB Breon Noel (from St. Francis (Pa),DB,Conference USA,Non Power 5,Charlotte,Breon Noel,St. Francis (Pa,#N/A
DB Al-Ma'hi Ali (from St. Francis (Pa),DB,Conference USA,Non Power 5,Charlotte,Al-Ma'hi Ali,St. Francis (Pa,#N/A
DB Damani Dent (from Michigan),DB,Conference USA,Non Power 5,Charlotte,Damani Dent,Michigan,Big Ten
DB Dae Dae Hollins (from North Carolina),DB,Conference USA,Non Power 5,Charlotte,Dae Dae Hollins,North Carolina,ACC
DB Dontae Balfour (from North Carolina),DB,Conference USA,Non Power 5,Charlotte,Dontae Balfour,North Carolina,ACC
DB Elijah Culp (from Troy),DB,Conference USA,Non Power 5,Charlotte,Elijah Culp,Troy,Sun Belt
K Jake Larson (from Richmond),K ,Conference USA,Non Power 5,Charlotte,Jake Larson,Richmond,CAA
P Grant Gonya (from John Carroll),P ,Conference USA,Non Power 5,Charlotte,rant Gonya,John Carroll,#N/A
LS Nico Crawford (from Illinois),LS,Conference USA,Non Power 5,Charlotte,Nico Crawford,Illinois,Big Ten
QB Casey Thompson (from Nebraska),QB,Conference USA,Non Power 5,FAU,Casey Thompson,Nebraska,Big Ten
QB Daniel Richardson (from Central Michigan),QB,Conference USA,Non Power 5,FAU,Daniel Richardson,Central Michigan,MAC
RB Kobe Lewis (from Purdue),RB,Conference USA,Non Power 5,FAU,Kobe Lewis,Purdue,Big Ten
WR Devin Price (from Texas A&M),WR,Conference USA,Non Power 5,FAU,Devin Price,Texas A&M,SEC
TE Jackson Sumlin (from Oklahoma),TE,Conference USA,Non Power 5,FAU,Jackson Sumlin,Oklahoma,Big 12
TE Kahlil Brantley (from Miami),TE,Conference USA,Non Power 5,FAU,Kahlil Brantley,Miami,ACC
TE Elijah Brown (from Alabama),TE,Conference USA,Non Power 5,FAU,Elijah Brown,Alabama,SEC
OL Woody Jean (from Arizona),OL,Conference USA,Non Power 5,FAU,Woody Jean,Arizona,Pac-12
DL Richard Thomas (from Indiana),DL,Conference USA,Non Power 5,FAU,Richard Thomas,Indiana,Big Ten
DL Jude Okolo (from Illinois State),DL,Conference USA,Non Power 5,FAU,Jude Okolo,Illinois State,Missouri Valley
LB Ja'Corey Hammett (from West Virginia),LB,Conference USA,Non Power 5,FAU,Ja'Corey Hammett,West Virginia,Big 12
LB Desmond Tisdol (from Auburn),LB,Conference USA,Non Power 5,FAU,Desmond Tisdol,Auburn,SEC
LB Zyere Horton (from Georgia Southern),LB,Conference USA,Non Power 5,FAU,Zyere Horton,Georgia Southern,Sun Belt
DB Jarron Morris (from Texas State),DB,Conference USA,Non Power 5,FAU,Jarron Morris,Texas State,Sun Belt
DB Jalen Huff (from Georgia Tech),DB,Conference USA,Non Power 5,FAU,Jalen Huff,Georgia Tech,ACC
RB Shomari Lawrence (from South Dakota),RB,Conference USA,Non Power 5,FIU,Shomari Lawrence,South Dakota,Missouri Valley
TE Christian Pedersen (from Louisville),TE,Conference USA,Non Power 5,FIU,Christian Pedersen,Louisville,ACC
OL Travis Burke (from Gardner-Webb),OL,Conference USA,Non Power 5,FIU,Travis Burke,Gardner-Webb,#N/A
OL Jackson Schultze (from Texas State),OL,Conference USA,Non Power 5,FIU,Jackson Schultze,Texas State,Sun Belt
DL Jack Daly (from Bryant),DL,Conference USA,Non Power 5,FIU,Jack Daly,Bryant,Big South-OVC
DL Claude Larkins (from NC State),DL,Conference USA,Non Power 5,FIU,Claude Larkins,NC State,ACC
LB Elijah Anderson-Taylor (from Northern Colorado),LB,Conference USA,Non Power 5,FIU,Elijah Anderson-Taylor,Northern Colorado,Big Sky
LB Avery Huff (from Miami),LB,Conference USA,Non Power 5,FIU,Avery Huff,Miami,ACC
S J.T. Anderson (from Bryant),S ,Conference USA,Non Power 5,FIU,.T. Anderson,Bryant,Big South-OVC
DB JoJo Evans (from Kent State),DB,Conference USA,Non Power 5,FIU,JoJo Evans,Kent State,MAC
DB Ladarian Paulk (from Memphis),DB,Conference USA,Non Power 5,FIU,Ladarian Paulk,Memphis,American Athletic Conference
QB Logan Smothers (from Nebraska),QB,Conference USA,Non Power 5,Jacksonville State,Logan Smothers,Nebraska,Big Ten
RB Malik Jackson (from ULM),RB,Conference USA,Non Power 5,Jacksonville State,Malik Jackson,ULM,Sun Belt
WR Dallan Wright (from Virginia Tech),WR,Conference USA,Non Power 5,Jacksonville State,Dallan Wright,Virginia Tech,ACC
WR Jamarye Joiner (from Arizona),WR,Conference USA,Non Power 5,Jacksonville State,Jamarye Joiner,Arizona,Pac-12
DL Kamari Stephens (from Florida A&M),DL,Conference USA,Non Power 5,Jacksonville State,Kamari Stephens,Florida A&M,SWAC
LB Quae Drake (from ULM),LB,Conference USA,Non Power 5,Jacksonville State,Quae Drake,ULM,Sun Belt
DB Austin Ambush (from Maine),DB,Conference USA,Non Power 5,Jacksonville State,Austin Ambush,Maine,CAA
DB Travis Collier (from Western Kentucky),DB,Conference USA,Non Power 5,Jacksonville State,Travis Collier,Western Kentucky,Conference USA
QB Hank Bachmeier (Boise State),QB,Conference USA,Non Power 5,Louisiana Tech,Hank Bachmeier, State,#N/A
"RB Tyre Shelton (from Miami, Ohio)",RB,Conference USA,Non Power 5,Louisiana Tech,Tyre Shelton,"Miami, Ohio",#N/A
WR Decoldest Crawford (from Nebraska),WR,Conference USA,Non Power 5,Louisiana Tech,Decoldest Crawford,Nebraska,Big Ten
WR Koby Duru (from McNeese State),WR,Conference USA,Non Power 5,Louisiana Tech,Koby Duru,McNeese State,#N/A
TE Ryan Rivera (from Cal Poly),TE,Conference USA,Non Power 5,Louisiana Tech,Ryan Rivera,Cal Poly,Big Sky
OL Mykel Janise (from Wyoming),OL,Conference USA,Non Power 5,Louisiana Tech,Mykel Janise,Wyoming,Mountain West
DL Jayden Gray (from Iowa State),DL,Conference USA,Non Power 5,Louisiana Tech,Jayden Gray,Iowa State,Big 12
DL Amaurii Grosskopf (from Sioux Falls),DL,Conference USA,Non Power 5,Louisiana Tech,Amaurii Grosskopf,Sioux Falls,#N/A
DL Kells Bush (from LSU),DL,Conference USA,Non Power 5,Louisiana Tech,Kells Bush,LSU,SEC
DL Jessie Evans (from Prairie View),DL,Conference USA,Non Power 5,Louisiana Tech,Jessie Evans,Prairie View,#N/A
DL Rason Williams II (from Stephen F. Austin),DL,Conference USA,Non Power 5,Louisiana Tech,Rason Williams II,Stephen F. Austin,UAC
DL Ezekiel Campbell (from Lenoir-Rhyne),DL,Conference USA,Non Power 5,Louisiana Tech,Ezekiel Campbell,Lenoir-Rhyne,#N/A
LB Brevin Randle (from Stephen F. Austin),LB,Conference USA,Non Power 5,Louisiana Tech,Brevin Randle,Stephen F. Austin,UAC
LB Kolbe Fields (from LSU),LB,Conference USA,Non Power 5,Louisiana Tech,Kolbe Fields,LSU,SEC
LB Zach Zimos (from Arkansas),LB,Conference USA,Non Power 5,Louisiana Tech,Zach Zimos,Arkansas,SEC
LB Jeslord Boateng (from Akron),LB,Conference USA,Non Power 5,Louisiana Tech,Jeslord Boateng,Akron,MAC
DB Keon Markham (from Arizona State),DB,Conference USA,Non Power 5,Louisiana Tech,Keon Markham,Arizona State,Pac-12
DB Kejuan Markham (from Arizona State),DB,Conference USA,Non Power 5,Louisiana Tech,Kejuan Markham,Arizona State,Pac-12
DB Myles Heard (from Stephen F. Austin),DB,Conference USA,Non Power 5,Louisiana Tech,Myles Heard,Stephen F. Austin,UAC
DB DeMarcus Griffin-Taylor (from Houston),DB,Conference USA,Non Power 5,Louisiana Tech,DeMarcus Griffin-Taylor,Houston,American Athletic Conference
DB Zion Hopes (from Tulsa),DB,Conference USA,Non Power 5,Louisiana Tech,Zion Hopes,Tulsa,American Athletic Conference
DB Keyshawn Paul (from Temple),DB,Conference USA,Non Power 5,Louisiana Tech,Keyshawn Paul,Temple,American Athletic Conference
DB Isaiah McElvane (from San Diego State),DB,Conference USA,Non Power 5,Louisiana Tech,Isaiah McElvane,San Diego State,Mountain West
DB Roderick Roberson (from SMU),DB,Conference USA,Non Power 5,Louisiana Tech,Roderick Roberson,SMU,American Athletic Conference
LS Gabe Pugh (from Alabama),LS,Conference USA,Non Power 5,Louisiana Tech,Gabe Pugh,Alabama,SEC
RB Jaiden Credle (from Northern Illinois),RB,Conference USA,Non Power 5,Middle Tennessee,Jaiden Credle,Northern Illinois,MAC
WR Justin Olson (from North Carolina),WR,Conference USA,Non Power 5,Middle Tennessee,Justin Olson,North Carolina,ACC
WR Kalani Norris (from Georgia Tech),WR,Conference USA,Non Power 5,Middle Tennessee,Kalani Norris,Georgia Tech,ACC
WR Holden Willis (from USF),WR,Conference USA,Non Power 5,Middle Tennessee,Holden Willis,USF,American Athletic Conference
WR Kellen Stewart (from Austin Peay),WR,Conference USA,Non Power 5,Middle Tennessee,Kellen Stewart,Austin Peay,UAC
OL Julius Pierce (from FIU),OL,Conference USA,Non Power 5,Middle Tennessee,Julius Pierce,FIU,Conference USA
DL James Stewart (from Memphis),DL,Conference USA,Non Power 5,Middle Tennessee,James Stewart,Memphis,American Athletic Conference
DL Brandon Buckner (from Oregon),DL,Conference USA,Non Power 5,Middle Tennessee,Brandon Buckner,Oregon,Pac-12
DB Tyrell Raby (from Memphis),DB,Conference USA,Non Power 5,Middle Tennessee,Tyrell Raby,Memphis,American Athletic Conference
QB Chandler Rogers (from ULM),QB,Conference USA,Non Power 5,North Texas,Chandler Rogers,ULM,Sun Belt
WR J'Kalon Carter (from Illinois State),WR,Conference USA,Non Power 5,North Texas,J'Kalon Carter,Illinois State,Missouri Valley
WR Blair Conwright (from TCU),WR,Conference USA,Non Power 5,North Texas,Blair Conwright,TCU,Big 12
WR Trey Cleveland (from Texas Tech),WR,Conference USA,Non Power 5,North Texas,Trey Cleveland,Texas Tech,Big 12
OL Larry Moore (from Texas Tech),OL,Conference USA,Non Power 5,North Texas,Larry Moore,Texas Tech,Big 12
OL Ethan Miner (from Arkansas State),OL,Conference USA,Non Power 5,North Texas,Ethan Miner,Arkansas State,Sun Belt
OL Paula Vaipulu (from Georgia Tech),OL,Conference USA,Non Power 5,North Texas,Paula Vaipulu,Georgia Tech,ACC
DL Viczaril Alobwede (from UMass),DL,Conference USA,Non Power 5,North Texas,Viczaril Alobwede,UMass,Independents
DB Damon Youngblood (from Louisiana),DB,Conference USA,Non Power 5,North Texas,Damon Youngblood,Louisiana,Sun Belt
DB Tarik Luckett (from Arizona State),DB,Conference USA,Non Power 5,North Texas,Tarik Luckett,Arizona State,Pac-12
DB Phillip Hill (from UNLV),DB,Conference USA,Non Power 5,North Texas,Phillip Hill,UNLV,Mountain West
K Noah Rauschenberg (from Baylor),K ,Conference USA,Non Power 5,North Texas,Noah Rauschenberg,Baylor,Big 12
QB JT Daniels (from West Virginia),QB,Conference USA,Non Power 5,Rice,JT Daniels,West Virginia,Big 12
WR Matt Sykes (from UCLA),WR,Conference USA,Non Power 5,Rice,Matt Sykes,UCLA,Pac-12
OL Brant Banks (from Nebraska),OL,Conference USA,Non Power 5,Rice,Brant Banks,Nebraska,Big Ten
OL Lavel Dumont (from Toledo),OL,Conference USA,Non Power 5,Rice,Lavel Dumont,Toledo,MAC
DL Coleman Coco (from Colgate),DL,Conference USA,Non Power 5,Rice,Coleman Coco,Colgate,Patriot
DL Michael Larbie (from Duke),DL,Conference USA,Non Power 5,Rice,Michael Larbie,Duke,ACC
DB Moh Bility (from North Texas),DB,Conference USA,Non Power 5,Rice,Moh Bility,North Texas,Conference USA
QB Xavier Ward (from Washington State),QB,Conference USA,Non Power 5,Sam Houston,Xavier Ward,Washington State,Pac-12
QB Grant Gunnell (from North Texas),QB,Conference USA,Non Power 5,Sam Houston,Grant Gunnell,North Texas,Conference USA
RB John Gentry (from Utah State),RB,Conference USA,Non Power 5,Sam Houston,John Gentry,Utah State,Mountain West
OL Rhett Larson (from SMU),OL,Conference USA,Non Power 5,Sam Houston,Rhett Larson,SMU,American Athletic Conference
DL Jaden Phillips (from New Mexico),DL,Conference USA,Non Power 5,Sam Houston,Jaden Phillips,New Mexico,Mountain West
DL Akeem Smith (from Georgia State),DL,Conference USA,Non Power 5,Sam Houston,Akeem Smith,Georgia State,Sun Belt
DL Seth Mason (from ULM),DL,Conference USA,Non Power 5,Sam Houston,Seth Mason,ULM,Sun Belt
LB Issiah Nixon (from Texas State),LB,Conference USA,Non Power 5,Sam Houston,Issiah Nixon,Texas State,Sun Belt
QB Landry Lyddy (from Louisiana Tech),QB,Conference USA,Non Power 5,UAB,Landry Lyddy,Louisiana Tech,Conference USA
RB Demetrius Battle (from West Alabama),RB,Conference USA,Non Power 5,UAB,Demetrius Battle,West Alabama,#N/A
WR Malachi Holt-Bennett (from Indiana),WR,Conference USA,Non Power 5,UAB,Malachi Holt-Bennett,Indiana,Big Ten
WR Brandon Buckhaulter (from Ole Miss),WR,Conference USA,Non Power 5,UAB,Brandon Buckhaulter,Ole Miss,SEC
WR Dazalin Worsham (from Auburn),WR,Conference USA,Non Power 5,UAB,Dazalin Worsham,Auburn,SEC
WR Ryan Peppins (from Grambling),WR,Conference USA,Non Power 5,UAB,Ryan Peppins,Grambling State,SWAC
OL William Parker (from Tennessee),OL,Conference USA,Non Power 5,UAB,William Parker,Tennessee,SEC
OL Brennan Moran (from Sioux Falls),OL,Conference USA,Non Power 5,UAB,Brennan Moran,Sioux Falls,#N/A
OL/DL Antavious Woody (from Florida State),OL,Conference USA,Non Power 5,UAB,DL Antavious Woody,Florida State,ACC
DL Andrew Ogletree (from Alabama State),DL,Conference USA,Non Power 5,UAB,Andrew Ogletree,Alabama State,SWAC
LB James Smyre (from Marshall),LB,Conference USA,Non Power 5,UAB,James Smyre,Marshall,Sun Belt
LB Desmond Little (from LSU),LB,Conference USA,Non Power 5,UAB,Desmond Little,LSU,SEC
DB A.D. Diamond (from Auburn),DB,Conference USA,Non Power 5,UAB,A.D. Diamond,Auburn,SEC
DB Brian Mayes (from Incarnate Word),DB,Conference USA,Non Power 5,UAB,Brian Mayes,Incarnate Word,Southland
P Patrick Foley (from Arkansas),P ,Conference USA,Non Power 5,UAB,atrick Foley,Arkansas,SEC
QB/ATH Kheagian Heckman (from New Mexico State),QB,Conference USA,Non Power 5,UTEP,ATH Kheagian Heckman,New Mexico State,Independents
RB Daryon Triche (from Sam Houston),RB,Conference USA,Non Power 5,UTEP,Daryon Triche,Sam Houston,Conference USA
RB Aaron Dumas (from New Mexico),RB,Conference USA,Non Power 5,UTEP,Aaron Dumas,New Mexico,Mountain West
WR Dre Spriggs (from UTSA),WR,Conference USA,Non Power 5,UTEP,Dre Spriggs,UTSA,Conference USA
DB A.J. Odums (from New Mexico),DB,Conference USA,Non Power 5,UTEP,A.J. Odums,New Mexico,Mountain West
QB Owen McCown (from Colorado),QB,Conference USA,Non Power 5,UTSA,Owen McCown,Colorado,Pac-12
RB Rocko Griffin (from Vanderbilt),RB,Conference USA,Non Power 5,UTSA,Rocko Griffin,Vanderbilt,SEC
OL Jackson Anderson (from Colorado),OL,Conference USA,Non Power 5,UTSA,Jackson Anderson,Colorado,Pac-12
DL Elliott Davison (from Incarnate Word),DL,Conference USA,Non Power 5,UTSA,Elliott Davison,Incarnate Word,Southland
LB Daron Allman (from Angelo State),LB,Conference USA,Non Power 5,UTSA,Daron Allman,Angelo State,#N/A
DB Kameryn Alexander (from Sam Houston),DB,Conference USA,Non Power 5,UTSA,Kameryn Alexander,Sam Houston,Conference USA
DB Syrus Dumas (from New Mexico State),DB,Conference USA,Non Power 5,UTSA,Syrus Dumas,New Mexico State,Independents
QB Bronson Barron (from Weber State),QB,Conference USA,Non Power 5,Western Kentucky,Bronson Barron,Weber State,Big Sky
RB Elijah Young (from Missouri),RB,Conference USA,Non Power 5,Western Kentucky,Elijah Young,Missouri,SEC
WR Daniel Edwards (from Illinois),WR,Conference USA,Non Power 5,Western Kentucky,Daniel Edwards,Illinois,Big Ten
WR Ze'Vian Capers (from Auburn),WR,Conference USA,Non Power 5,Western Kentucky,Ze'Vian Capers,Auburn,SEC
WR Jimmy Holiday (from Tennessee),WR,Conference USA,Non Power 5,Western Kentucky,Jimmy Holiday,Tennessee,SEC
WR Blue Smith (from Cincinnati),WR,Conference USA,Non Power 5,Western Kentucky,Blue Smith,Cincinnati,American Athletic Conference
TE Trevor Borland (from Buffalo),TE,Conference USA,Non Power 5,Western Kentucky,Trevor Borland,Buffalo,MAC
OL Mike Moment (from Alcorn State),OL,Conference USA,Non Power 5,Western Kentucky,Mike Moment,Alcorn State,SWAC
OL Mason Williams (from Harvard),OL,Conference USA,Non Power 5,Western Kentucky,Mason Williams,Harvard,Ivy
DL Kenyonte Davis (from UT Martin),DL,Conference USA,Non Power 5,Western Kentucky,Kenyonte Davis,UT Martin,Big South-OVC
DL Marquis Black (from Nebraska),DL,Conference USA,Non Power 5,Western Kentucky,Marquis Black,Nebraska,Big Ten
DL Ryan Williams (from Colorado),DL,Conference USA,Non Power 5,Western Kentucky,Ryan Williams,Colorado,Pac-12
DL Tyrese Black (from ULM),DL,Conference USA,Non Power 5,Western Kentucky,Tyrese Black,ULM,Sun Belt
DL Dallas Walker IV (from Texas A&M),DL,Conference USA,Non Power 5,Western Kentucky,Dallas Walker IV,Texas A&M,SEC
DL Jayden Loving (from Bethune-Cookman),DL,Conference USA,Non Power 5,Western Kentucky,Jayden Loving,Bethune-Cookman,#N/A
DL/LB Sebastian Benjamin (from St. Francis Pa.),DL,Conference USA,Non Power 5,Western Kentucky,LB Sebastian Benjamin,St. Francis Pa.,#N/A
LB Devon Lynch (from Shepherd),LB,Conference USA,Non Power 5,Western Kentucky,Devon Lynch,Shepherd,#N/A
DB Josh Shodipo (from Northern Michigan),DB,Conference USA,Non Power 5,Western Kentucky,Josh Shodipo,Northern Michigan,#N/A
DB Anthony Johnson (from West Florida),DB,Conference USA,Non Power 5,Western Kentucky,Anthony Johnson,West Florida,#N/A
QB Tahj Bullock (from Virginia Tech),QB,MAC,Non Power 5,Akron,Tahj Bullock,Virginia Tech,ACC
RB Lorenzo Lingard (from Florida),RB,MAC,Non Power 5,Akron,Lorenzo Lingard,Florida,SEC
